id,title,description,link,condition,price,sale_price,availability,image_link,gtin,mpn,brand,google product category
6492,Almanya 1921 Yılı 25 Pfennig Suhl Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-25-pfennig-suhl-sehri-notgeld-cil,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/6.jpg,,,,
6493,Almanya 1921 Yılı 50 Pfennig Preetz Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-50-pfennig-preetz-sehri-notgeld-cil,Used,30 TRY,30 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/7.jpg,,,,
6494,Almanya 1922 Yılı 50 Pfennig Eisenach Şehri Notgeld Çilaltı,,https://numismat.net/almanya-1922-yili-50-pfennig-eisenach-sehri-notgeld-cilalti-1,Used,30 TRY,30 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/8.jpg,,,,
6495,Almanya 1921 Yılı 50 Pfennig Oberammergau Şehri Notgeld Çilaltı,,https://numismat.net/almanya-1921-yili-50-pfennig-oberammergau-sehri-notgeld-cilalti,Used,30 TRY,30 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/9.jpg,,,,
6496,Almanya 1921 Yılı 50 Pfennig Nordhausen Şehri Notgeld Çilaltı,,https://numismat.net/almanya-1921-yili-50-pfennig-nordhausen-sehri-notgeld-cilalti,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/10.jpg,,,,
6497,Almanya 1921 Yılı 25 Pfennig Swinemünde Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-25-pfennig-swinemunde-sehri-notgeld-cil,Used,30 TRY,30 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/11.jpg,,,,
6498,Almanya 1921 Yılı 50 Pfennig Zeulenroda Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-50-pfennig-zeulenroda-sehri-notgeld-cil,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/12.jpg,,,,
6499,Almanya 1921 Yılı 75 Pfennig Oberammergau Şehri Notgeld Çilaltı,,https://numismat.net/almanya-1921-yili-75-pfennig-oberammergau-sehri-notgeld-cilalti,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/13.jpg,,,,
6502,Almanya 1921 Yılı 50 Pfennig Camp Bornhofen Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-50-pfennig-camp-bornhofen-sehri-notgeld-cil,Used,30 TRY,30 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/16.jpg,,,,
6503,Almanya 1921 Yılı 50 Pfennig Bremerhaven Şehri Notgeld ÇÇT (++),,https://numismat.net/almanya-1921-yili-50-pfennig-bremerhaven-sehri-notgeld-cct,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/17.jpg,,,,
